Eads,Bader-charge,Ave-O2p-up,Ave-O2p-down,Ave-diff-EN,Ave-diff-IE,BLVE Neighbor 1,BLVE Neighbor 2,BLVE Neighbor 3,BLVE Neighbor 4,BLVE Neighbor 5,Freq Ni,Freq Mg,Freq Cu,Freq Zn
-0.225861755,-1.343006,-1.936702306030331,-1.8382480650699458,1.822000,5.624800,0.2105,1.0535,0.2105,1.0535,0.176083333333333,2,2,0,1
-0.661858925,-1.255101,-2.1412502898089163,-2.0208182437140234,1.704000,5.608800,1.0525,0.2107,1.0525,0.2107,0.190909090909091,2,2,1,0
-0.428172395,-1.343006,-1.9631297066966606,-1.8758732028855276,1.704000,5.608800,0.2105,1.0535,0.2105,1.0535,0.176083333333333,2,2,0,1
-0.549913025,-1.255101,-2.132856591931604,-2.039110262131844,1.772000,5.958400,1.0525,0.2107,1.0525,0.2107,0.190909090909091,2,2,1,0
-1.541096105,-1.255101,-2.1377475990424473,-2.017025381679628,1.824000,5.607600,1.0525,0.2107,1.0525,0.2107,0.190909090909091,2,2,1,0
-0.260770145,-1.343006,-1.9381727685056986,-1.8342587271328321,1.636000,5.259200,0.2105,1.0535,0.2105,1.0535,0.176083333333333,2,2,0,1
-0.564042985,-1.255101,-2.136904706514129,-2.043993297380521,1.704000,5.608800,1.0525,0.2107,1.0525,0.2107,0.190909090909091,2,2,1,0
-0.545514555,-1.343006,-1.9582078006814583,-1.8788432869699696,1.822000,5.624800,0.2105,1.0535,0.2105,1.0535,0.176083333333333,2,2,0,1
-0.223765235,-1.343006,-1.9429975287451642,-1.8560666979014953,1.756000,5.258000,0.2105,1.0535,0.2105,1.0535,0.176083333333333,2,2,0,1
-1.278269075,-1.255101,-2.1422176469892915,-2.031413488435397,1.704000,5.608800,1.0525,0.2107,1.0525,0.2107,0.190909090909091,2,2,1,0
-0.311593125,-1.343006,-1.9369127833151951,-1.8419287312769623,1.822000,5.624800,0.2105,1.0535,0.2105,1.0535,0.176083333333333,2,2,0,1
-1.544919075,-1.255101,-2.1346543591607867,-2.0198335495591677,1.704000,5.608800,1.0525,0.2107,1.0525,0.2107,0.190909090909091,2,2,1,0
-0.744123315,-1.255101,-2.138576552207216,-2.032941438836158,1.704000,5.608800,1.0525,0.2107,1.0525,0.2107,0.190909090909091,2,2,1,0
-0.379490535,-1.343006,-1.9350934269575795,-1.848279800055996,1.822000,5.624800,0.2105,1.0535,0.2105,1.0535,0.176083333333333,2,2,0,1
-0.571026385,-1.255101,-2.1361235355617842,-2.0228134612778437,1.772000,5.958400,1.0525,0.2107,1.0525,0.2107,0.190909090909091,2,2,1,0
-0.546351925,-1.343006,-1.9403300029523898,-1.8451568486052219,1.704000,5.608800,0.2105,1.0535,0.2105,1.0535,0.176083333333333,2,2,0,1
-0.770392395,-1.161777,-2.2978026519080506,-2.2421189424889985,1.688000,4.908400,0.185545454545455,0.175666666666667,0.18375,0.174666666666667,0.2106,1,0,1,3
-0.181404065,-1.368275,-2.045067923701701,-1.9998745789551133,1.994000,5.272800,0.178833333333333,0.177,0.17675,1.063,1.0795,0,2,0,3
-0.061863275,-1.216939,-2.5339386570355638,-2.30480991362816,1.770000,5.975600,1.0615,0.177583333333333,0.206,0.2084,0.20937,3,1,0,1
0.091503035,-1.13495,-2.226430039085401,-2.092079371197325,1.636000,5.259200,0.2064,0.2029,0.17575,0.198090909090909,0.174833333333333,2,0,1,2
-0.236325135,-1.280313,-2.226870698905614,-2.022691498025914,1.754000,5.275200,0.177833333333333,1.046,0.212,0.173666666666667,0.2172,2,1,0,2
-0.405968075,-1.161348,-2.1876087554642467,-2.168401512533463,1.706000,5.591600,0.180166666666667,0.2079,0.184454545454546,0.177333333333333,0.188363636363636,1,0,2,2
0.165802755,-1.157594,-2.286431477197939,-2.1115983803367633,1.704000,5.608800,0.172416666666667,0.198,0.174,0.2047,0.2112,2,0,1,2
-0.223622515,-1.261978,-2.2416452438986876,-2.1857600713784815,1.756000,5.258000,0.2087,0.17575,1.0755,0.175833333333333,0.190181818181818,1,1,1,2
0.045234645,-1.216939,-2.5358198838258708,-2.31116512863931,1.702000,5.626000,1.0615,0.177583333333333,0.206,0.2084,0.2093,3,1,0,1
0.208189555,-1.13495,-2.224243352571991,-2.092944061817407,1.636000,5.259200,0.2064,0.2029,0.17575,0.198090909090909,0.174833333333333,2,0,1,2
-0.662246445,-1.16179,-2.29307352251138,-2.2457921114868777,1.688000,4.908400,0.185545454545455,0.175666666666667,0.18375,0.174666666666667,0.2106,1,0,1,3
-0.078762815,-1.368275,-2.053337512703771,-1.9992369331496178,1.994000,5.272800,0.178833333333333,0.177,0.17675,1.063,1.0795,0,2,0,3
-0.098632355,-1.157594,-2.2864715306672103,-2.1144574355272447,1.636000,5.259200,0.172416666666667,0.198,0.174,0.2047,0.2112,2,0,1,2
0.197857405,-1.261978,-2.240768704413259,-2.18912972464149,1.756000,5.258000,0.2087,0.17575,1.0755,0.175833333333333,0.190181818181818,1,1,1,2
-0.239072515,-1.280313,-2.217302448287772,-2.0259041335624604,1.754000,5.275200,0.177833333333333,1.046,0.212,0.173666666666667,0.2172,2,1,0,2
-0.400665165,-1.161348,-2.185501999504208,-2.1675380943871754,1.706000,5.591600,0.180166666666667,0.2079,0.184454545454546,0.177333333333333,0.188363636363636,1,0,2,2
-0.356497195,-1.182317,-2.0461731749355265,-2.0824561662651484,1.686000,4.925600,0.175083333333333,0.18175,0.176583333333333,0.2046,0.2077,2,0,0,3
-0.977587415,-1.223508,-2.1227022481084736,-1.9370771329707706,1.704000,5.608800,0.2107,0.175083333333333,0.2105,1.039,0.195545454545454,2,1,1,1
-0.507858065,-1.331215,-2.0069283601583146,-1.8788175772416227,1.822000,5.624800,1.054,0.2089,0.2117,1.056,0.177,2,2,0,1
-0.634926405,-1.285248,-1.7636966595982688,-1.7025611690475564,1.806000,4.924400,1.063,0.2127,0.17425,0.178333333333333,0.18175,1,1,0,3
-0.759694305,-1.351858,-1.8244165930114096,-1.7898781455223787,1.876000,5.256800,0.174083333333333,1.059,1.065,0.178,0.203545454545455,0,2,1,2
-0.488206755,-1.25461,-2.0882479031924195,-1.930807130101842,1.754000,5.275200,0.175833333333333,1.0605,0.174583333333333,0.21,0.2131,2,1,0,2
-0.722632805,-1.216844,-2.149781935301738,-1.9698020497309932,1.702000,5.626000,0.2105,0.174583333333333,0.2108,0.2064,1.0565,3,1,0,1
-0.414673905,-1.23655,-2.200677705488357,-1.9513826930930505,1.702000,5.626000,0.2097,0.2039,1.0505,0.179666666666667,0.2094,3,1,0,1
-0.578407175,-1.331215,-2.006199623193003,-1.8749178969918237,1.822000,5.624800,1.054,0.2089,0.2117,1.056,0.177,2,2,0,1
-0.835326065,-1.285248,-1.7605912744344794,-1.7030005322465853,1.806000,4.924400,1.063,0.2127,0.17425,0.178333333333333,0.18175,1,1,0,3
-0.558582875,-1.182317,-2.0508789655937445,-2.081892665497613,1.686000,4.925600,0.175083333333333,0.18175,0.176583333333333,0.2046,0.2077,2,0,0,3
-0.976965095,-1.223512,-2.1185441600013695,-1.934757077899326,1.704000,5.608800,0.2107,0.175083333333333,0.2105,1.039,0.195545454545454,2,1,1,1
-0.463409835,-1.216844,-2.1420251667641605,-1.9659181283298386,1.702000,5.626000,0.2105,0.174583333333333,0.2108,0.2064,1.0565,3,1,0,1
-0.417178135,-1.23655,-2.196615176427245,-1.9534293499891353,1.702000,5.626000,0.2097,0.2039,1.0505,0.179666666666667,0.2094,3,1,0,1
-0.760093115,-1.351858,-1.8310305809303526,-1.7957675128966175,1.876000,5.256800,0.174083333333333,1.059,1.065,0.178,0.203545454545455,0,2,1,2
-0.488915605,-1.254611,-2.0950865769617644,-1.9335457144040251,1.754000,5.275200,0.175833333333333,1.0605,0.174583333333333,0.21,0.2131,2,1,0,2
-0.318580945,-1.329849,-1.8641775234865292,-1.8284114434080723,1.876000,5.256800,0.191,0.173666666666667,1.0965,0.176166666666667,1.074,0,2,1,2
-0.397361365,-1.352647,-1.6633220695491737,-1.6500034859162176,1.876000,5.256800,0.180333333333333,1.0665,0.191363636363636,1.062,0.181333333333333,0,2,1,2
-0.332052095,-1.250653,-2.214300580337277,-2.138773565119206,1.772000,5.958400,1.053,0.198,0.2046,0.2035,1.054,2,2,1,0
-0.532701645,-1.173299,-2.1116662066072003,-2.0470581408999897,1.704000,5.608800,0.2048,0.1993,0.18,0.200545454545455,1.0495,2,1,1,1
-0.542936835,-1.328145,-1.7220566419097993,-1.6239191019858903,1.824000,5.607600,0.182083333333333,1.046,0.2049,1.0485,0.205727272727273,1,2,1,1
-0.658845645,-1.176754,-2.121786522312536,-2.0242251763729504,1.654000,5.942400,1.05,0.2045,0.184727272727273,0.198,0.2113,2,1,2,0
-0.583352045,-1.096135,-2.0778854244517744,-2.0227920943698767,1.586000,5.592800,0.187,0.202,0.175833333333333,0.2007,0.2109,2,0,2,1
-0.333459485,-1.248739,-1.8382560373660544,-1.7594945390952348,1.806000,4.924400,0.2095,0.177583333333333,1.09,0.174416666666667,0.182083333333333,1,1,0,3
-0.331446715,-1.250653,-2.2220530483277807,-2.143218375327266,1.772000,5.958400,1.053,0.198,0.2046,0.2035,1.054,2,2,1,0
-0.414776165,-1.173299,-2.117137655669065,-2.0570613899402983,1.704000,5.608800,0.2048,0.1993,0.18,0.200545454545455,1.0495,2,1,1,1
-0.219012415,-1.329849,-1.8622666271618797,-1.832711582370882,1.876000,5.256800,0.191,0.173666666666667,1.0965,0.176166666666667,1.074,0,2,1,2
-0.417523265,-1.352647,-1.660175461406307,-1.6527534290125834,1.876000,5.256800,0.180333333333333,1.0665,0.191363636363636,1.062,0.181333333333333,0,2,1,2
-0.584483105,-1.096135,-2.0816494989762284,-2.0215733830117233,1.586000,5.592800,0.187,0.202,0.175833333333333,0.2007,0.2109,2,0,2,1
-0.358362865,-1.248739,-1.8404758873635942,-1.7589387178864286,1.806000,4.924400,0.2095,0.177583333333333,1.09,0.174416666666667,0.182083333333333,1,1,0,3
-0.566694145,-1.328145,-1.7413832866690724,-1.6244914670454957,1.824000,5.607600,0.182083333333333,1.046,0.2049,1.0485,0.205727272727273,1,2,1,1
-0.427158365,-1.176754,-2.1188523379735242,-2.0233937531517396,1.654000,5.942400,1.05,0.2045,0.184727272727273,0.198,0.2113,2,1,2,0
-0.385635745,-1.302263,-1.8148695757530586,-1.7832257661459772,1.774000,5.941200,1.0575,0.190727272727273,1.06,0.2115,0.179833333333333,1,2,1,1
-0.371819665,-1.236211,-2.235215805505933,-1.9502799722654922,1.702000,5.626000,0.2094,1.055,0.2134,0.176333333333333,0.2079,3,1,0,1
-0.627640645,-1.142547,-1.8769609045972708,-1.6234956279828217,1.586000,5.592800,0.174916666666667,0.2093,0.17675,0.2064,0.208909090909091,2,0,1,2
-0.634158765,-1.251805,-1.8615194284036358,-1.8312899571654795,1.656000,5.925200,0.2091,0.175916666666667,0.193363636363636,1.0485,0.177583333333333,1,1,1,2
-0.308205785,-1.226573,-2.130985288050402,-1.9876809142840408,1.704000,5.608800,0.192363636363636,0.175,0.2094,1.048,0.2105,2,1,1,1
-0.422095005,-1.331645,-1.7716122172258222,-1.6531240901420314,1.822000,5.624800,1.0485,0.213,1.0475,0.2165,0.17975,2,2,0,1
-0.206894215,-1.32586,-2.010038006994939,-1.8698130017025387,1.772000,5.958400,0.2115,1.052,0.208,0.175833333333333,1.0585,2,2,0,1
-0.844971975,-1.162326,-1.9665366683669012,-1.833935723882292,1.588000,5.575600,0.176583333333333,0.2116,0.174666666666667,0.190545454545454,0.195,1,0,2,2
-0.622050865,-1.142547,-1.8799126165601254,-1.6193079201250904,1.586000,5.592800,0.174916666666667,0.2093,0.17675,0.2064,0.208909090909091,2,0,1,2
-0.368284255,-1.251805,-1.8617904773730813,-1.8309142709079893,1.656000,5.925200,0.2091,0.175916666666667,0.193363636363636,1.0485,0.177583333333333,1,1,1,2
-0.332149515,-1.302263,-1.8205087495681977,-1.7817904857830016,1.774000,5.941200,1.0575,0.190727272727273,1.06,0.2115,0.179833333333333,1,2,1,1
-0.372023195,-1.236211,-2.2443156504988946,-1.9517530474145162,1.702000,5.626000,0.2094,1.055,0.2134,0.176333333333333,0.2079,3,1,0,1
-0.204212095,-1.32586,-2.0095040044287993,-1.8728272246379252,1.772000,5.958400,0.2115,1.052,0.208,0.175833333333333,1.0585,2,2,0,1
-0.536077025,-1.162326,-1.9706791217499526,-1.83217354557899,1.588000,5.575600,0.176583333333333,0.2116,0.174666666666667,0.190545454545454,0.195,1,0,2,2
-0.322585815,-1.226573,-2.1299247177107627,-1.9899919337475853,1.824000,5.607600,0.192363636363636,0.175,0.2094,1.048,0.2105,2,1,1,1
-0.419518775,-1.331645,-1.7749661875114802,-1.6487955946691821,1.822000,5.624800,1.0485,0.213,1.0475,0.2165,0.17975,2,2,0,1
-0.400235215,-1.280245,-2.005425194631116,-1.8249254571450149,1.772000,5.958400,0.185181818181818,1.0535,1.071,0.2118,0.2138,2,2,1,0
